workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
european,rust,none,1000,c2d-standard-4,c2d,4,0.034576333329520516,28921516.647522077,3.4576333329520514e-08,,europe-west1,europe-west1-b
european_local_vol,cpu,none,1000,c2d-standard-4,c2d,4,12.44086400000318,80380.26940892084,1.244086400000318e-05,,europe-west1,europe-west1-b
european_local_vol,jax,none,1000,c2d-standard-4,c2d,4,8.284724333336158,120704.07653471219,8.284724333336158e-06,,europe-west1,europe-west1-b
european_local_vol,jax,forward,1000,c2d-standard-4,c2d,4,39.522195333328604,25302.238187075396,3.9522195333328605e-05,,europe-west1,europe-west1-b
european_local_vol,jax,reverse,1000,c2d-standard-4,c2d,4,21.06767333333437,47466.08627245743,2.1067673333334368e-05,,europe-west1,europe-west1-b
european_local_vol,cpp,none,1000,c2d-standard-4,c2d,4,5.376058000005439,186009.897958502,5.376058000005439e-06,,europe-west1,europe-west1-b
european_local_vol,rust,none,1000,c2d-standard-4,c2d,4,4.2860053333365995,233317.48848327098,4.2860053333366e-06,,europe-west1,europe-west1-b
asian,cpu,none,1000,c2d-standard-4,c2d,4,7.654908333331416,130635.13715059734,7.654908333331416e-06,,europe-west1,europe-west1-b
asian,jax,none,1000,c2d-standard-4,c2d,4,60.91282300000481,16416.904532563218,6.091282300000481e-05,,europe-west1,europe-west1-b
asian,jax,forward,1000,c2d-standard-4,c2d,4,304.0034873333373,3289.4359494748437,0.0003040034873333373,,europe-west1,europe-west1-b
asian,jax,reverse,1000,c2d-standard-4,c2d,4,208.61277733333358,4793.57023468482,0.00020861277733333358,,europe-west1,europe-west1-b
european,cpu,none,1000,c2d-standard-4,c2d,4,0.06661899999945338,15010732.673984976,6.661899999945338e-08,,europe-west1,europe-west1-b
european,jax,forward,1000,c2d-standard-4,c2d,4,1.3186846666618142,758331.4080169379,1.3186846666618142e-06,,europe-west1,europe-west1-b
european,jax,reverse,1000,c2d-standard-4,c2d,4,1.7026176666661286,587330.9196644751,1.7026176666661287e-06,,europe-west1,europe-west1-b
european,rust,none,1000,c2d-standard-4,c2d,4,0.034576333329520516,28921516.647522077,3.4576333329520514e-08,,europe-west1,europe-west1-b
european_local_vol,cpu,none,1000,c2d-standard-4,c2d,4,12.44086400000318,80380.26940892084,1.244086400000318e-05,,europe-west1,europe-west1-b
european_local_vol,jax,forward,1000,c2d-standard-4,c2d,4,39.522195333328604,25302.238187075396,3.9522195333328605e-05,,europe-west1,europe-west1-b
