workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,std_runtime_ms,sha_round,sha_eliminated,scaling_law_alpha,scaling_law_beta,extrapolated_runtime_ms,extrapolation_error_pct,ad_overhead_ratio,profiler_phase,profiler_decision
european,jax,reverse,1000,e2-standard-4,3.460119666669925,0.16524305067674822,0,0,,,,,5.78390936398199,sha_round_0,
european,jax,reverse,1000,e2-standard-4,3.460119666669925,0.16524305067674822,0,1,,,,,5.78390936398199,sha_round_0,
european,rust,none,1000,e2-standard-4,0.06747966666390919,0.010771813796926072,0,0,,,,,1.0,sha_round_0,
european,rust,none,1000,e2-standard-4,0.06747966666390919,0.010771813796926072,0,1,,,,,1.0,sha_round_0,
european,rust,none,1000,e2-standard-4,0.12882700000697392,0.08172802239926816,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,e2-standard-4,8.215797666660288,0.024825069726213515,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,e2-standard-4,8.215797666660288,0.024825069726213515,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,e2-standard-4,8.307081333337388,0.08544546745667812,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpp,none,1000,e2-standard-4,8.307081333337388,0.08544546745667812,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.547342999994573,0.5980911594815292,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.547342999994573,0.5980911594815292,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.56814600000223,0.41940773547275495,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.56814600000223,0.41940773547275495,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.33555400001319,0.07254771282856583,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.33555400001319,0.07254771282856583,0,1,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.21873166665955,0.34076109873303273,0,0,,,,,1.0,sha_round_0,
european_local_vol,cpu,none,1000,e2-standard-4,20.21873166665955,0.34076109873303273,0,1,,,,,1.0,sha_round_0,
