workload_type,engine,ad_mode,M,instance_type,mean_runtime_ms,profiler_phase,profiler_decision
asian,jax,forward,100000,e2-standard-4,1662.1974069999965,full,full_grid_only
asian,jax,forward,100000,e2-standard-4,1785.4759580000064,full,full_grid_only
asian,jax,forward,100000,e2-standard-4,1873.1367255999885,full,full_grid_only
asian,cpu,none,1000,n2-standard-4,7.358503666665683,probe,
asian,cpu,none,1000,t2d-standard-4,8.582437666670254,probe,
asian,cpu,none,1000,,9.20851666675541,probe,
asian,cpu,none,1000,e2-standard-8,12.878465000009479,probe,
asian,jax,none,1000,,71.69712466664653,probe,
asian,jax,none,1000,t2d-standard-4,74.70693533332451,probe,
asian,jax,none,1000,n2-standard-4,82.2216743333352,probe,
asian,jax,none,1000,e2-standard-8,97.88641833333145,probe,
asian,jax,reverse,1000,t2d-standard-4,240.48185266665692,probe,
asian,jax,reverse,1000,n2-standard-4,280.7995166666662,probe,
asian,jax,reverse,1000,,291.2407460000092,probe,
asian,jax,reverse,1000,e2-standard-8,312.21724833333536,probe,
asian,jax,forward,1000,t2d-standard-4,326.3432170000158,probe,
asian,jax,forward,1000,,374.3398920000042,probe,
asian,jax,forward,1000,n2-standard-4,413.1752873333359,probe,
asian,jax,forward,1000,e2-standard-8,433.4823733333432,probe,
asian,cpu,none,1000,c2d-standard-4,7.5501926666656045,sha_round_0,
asian,cpu,none,1000,n2-standard-4,7.608822333333857,sha_round_0,
asian,cpu,none,1000,c2d-standard-4,7.654908333331416,sha_round_0,
asian,cpu,none,1000,c2d-standard-4,7.654908333331416,sha_round_0,
asian,cpu,none,1000,n2-standard-4,8.099538000000924,sha_round_0,
asian,cpu,none,1000,e2-standard-8,8.11246033333172,sha_round_0,
asian,cpu,none,1000,e2-standard-8,8.11246033333172,sha_round_0,
asian,cpu,none,1000,t2d-standard-4,8.341136333333074,sha_round_0,
asian,cpu,none,1000,e2-standard-8,8.381994333319653,sha_round_0,
asian,cpu,none,1000,n2d-standard-4,8.42781900000015,sha_round_0,
asian,cpu,none,1000,t2d-standard-4,8.531358000003783,sha_round_0,
asian,cpu,none,1000,e2-standard-8,8.568199333330048,sha_round_0,
asian,cpu,none,1000,n2d-standard-4,9.227759999996957,sha_round_0,
asian,cpu,none,1000,e2-standard-4,11.439554666670423,sha_round_0,
asian,cpu,none,1000,e2-standard-4,12.058234333342929,sha_round_0,
asian,cpu,none,1000,e2-standard-4,12.084496666659561,sha_round_0,
asian,jax,none,1000,c2d-standard-4,60.91282300000481,sha_round_0,
asian,jax,none,1000,c2d-standard-4,61.75555099999978,sha_round_0,
asian,jax,none,1000,t2d-standard-4,63.933177000005045,sha_round_0,
asian,jax,none,1000,t2d-standard-4,68.09830366666365,sha_round_0,
asian,jax,none,1000,n2d-standard-4,73.71444000000338,sha_round_0,
asian,jax,none,1000,e2-standard-8,74.39626666667228,sha_round_0,
asian,jax,none,1000,e2-standard-8,79.12953500000224,sha_round_0,
asian,jax,none,1000,e2-standard-8,79.12953500000224,sha_round_0,
asian,jax,none,1000,e2-standard-8,80.4152800000016,sha_round_0,
asian,jax,none,1000,n2-standard-4,84.75636799999602,sha_round_0,
asian,jax,none,1000,n2-standard-4,85.7806803333337,sha_round_0,
asian,jax,none,1000,n2d-standard-4,86.38425600000232,sha_round_0,
asian,jax,none,1000,e2-standard-4,104.58916233333564,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.70567766666765,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.78224133332999,sha_round_0,
asian,jax,none,1000,e2-standard-4,110.78224133332999,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,205.85334233333205,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,205.85334233333205,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.61277733333358,sha_round_0,
asian,jax,reverse,1000,c2d-standard-4,208.61277733333358,sha_round_0,
asian,jax,reverse,1000,t2d-standard-4,210.2912686666656,sha_round_0,
asian,jax,reverse,1000,t2d-standard-4,210.2912686666656,sha_round_0,
asian,jax,reverse,1000,t2d-standard-4,227.45748966666213,sha_round_0,
asian,jax,reverse,1000,t2d-standard-4,227.45748966666213,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,242.7298189999997,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,242.7298189999997,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,244.3574289999996,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,244.3574289999996,sha_round_0,
asian,jax,reverse,1000,n2d-standard-4,245.38649666666856,sha_round_0,
asian,jax,reverse,1000,n2d-standard-4,245.38649666666856,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,261.26418399999807,sha_round_0,
asian,jax,reverse,1000,e2-standard-8,261.26418399999807,sha_round_0,
asian,jax,reverse,1000,n2d-standard-4,276.61438866667254,sha_round_0,
asian,jax,reverse,1000,n2d-standard-4,276.61438866667254,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,284.70754399999976,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,284.70754399999976,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,291.65108766667913,sha_round_0,
asian,jax,reverse,1000,n2-standard-4,291.65108766667913,sha_round_0,
asian,jax,forward,1000,t2d-standard-4,299.6511973333327,sha_round_0,
asian,jax,forward,1000,t2d-standard-4,299.6511973333327,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,304.0034873333373,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,304.0034873333373,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,310.85845699999953,sha_round_0,
asian,jax,forward,1000,c2d-standard-4,310.85845699999953,sha_round_0,
asian,jax,forward,1000,t2d-standard-4,325.1398539999997,sha_round_0,
asian,jax,forward,1000,t2d-standard-4,325.1398539999997,sha_round_0,
asian,jax,forward,1000,e2-standard-8,334.8435470000008,sha_round_0,
asian,jax,forward,1000,e2-standard-8,334.8435470000008,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,340.04302133334363,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,340.04302133334363,sha_round_0,
asian,jax,forward,1000,e2-standard-8,340.1040296666669,sha_round_0,
asian,jax,forward,1000,e2-standard-8,340.1040296666669,sha_round_0,
asian,jax,forward,1000,n2d-standard-4,354.2050416666645,sha_round_0,
asian,jax,forward,1000,n2d-standard-4,354.2050416666645,sha_round_0,
asian,jax,forward,1000,e2-standard-8,360.4796909999948,sha_round_0,
asian,jax,forward,1000,e2-standard-8,360.4796909999948,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,377.80953166667547,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,377.80953166667547,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,388.3388466666702,sha_round_0,
asian,jax,reverse,1000,e2-standard-4,388.3388466666702,sha_round_0,
asian,jax,forward,1000,n2d-standard-4,394.01213399999807,sha_round_0,
asian,jax,forward,1000,n2d-standard-4,394.01213399999807,sha_round_0,
asian,jax,forward,1000,n2-standard-4,400.8839140000002,sha_round_0,
asian,jax,forward,1000,n2-standard-4,400.8839140000002,sha_round_0,
asian,jax,forward,1000,n2-standard-4,403.9623636666647,sha_round_0,
asian,jax,forward,1000,n2-standard-4,403.9623636666647,sha_round_0,
asian,jax,forward,1000,e2-standard-4,484.4463879999997,sha_round_0,
asian,jax,forward,1000,e2-standard-4,484.4463879999997,sha_round_0,
asian,jax,forward,1000,e2-standard-4,534.6507313333385,sha_round_0,
asian,jax,forward,1000,e2-standard-4,534.6507313333385,sha_round_0,
asian,jax,forward,1000,e2-standard-4,568.9221450000019,sha_round_0,
asian,jax,forward,1000,e2-standard-4,568.9221450000019,sha_round_0,
asian,cpu,none,5000,c2d-standard-4,29.512339600000814,sha_round_1,
asian,cpu,none,5000,c2d-standard-4,29.512339600000814,sha_round_1,
asian,cpu,none,5000,t2d-standard-4,32.29585159999999,sha_round_1,
asian,cpu,none,5000,t2d-standard-4,32.29585159999999,sha_round_1,
asian,cpu,none,5000,t2d-standard-4,32.35913919999973,sha_round_1,
asian,cpu,none,5000,t2d-standard-4,32.35913919999973,sha_round_1,
asian,cpu,none,5000,n2d-standard-4,32.55394120000119,sha_round_1,
asian,cpu,none,5000,n2d-standard-4,32.55394120000119,sha_round_1,
asian,cpu,none,5000,e2-standard-8,32.96549460000051,sha_round_1,
asian,cpu,none,5000,n2-standard-4,33.792627599996194,sha_round_1,
asian,cpu,none,5000,n2-standard-4,33.792627599996194,sha_round_1,
asian,cpu,none,5000,e2-standard-8,34.510201600011214,sha_round_1,
asian,cpu,none,5000,e2-standard-8,34.510201600011214,sha_round_1,
asian,cpu,none,5000,n2-standard-4,37.11288840000293,sha_round_1,
asian,cpu,none,5000,n2-standard-4,37.11288840000293,sha_round_1,
asian,cpu,none,5000,n2d-standard-4,37.94467140000393,sha_round_1,
asian,cpu,none,5000,n2d-standard-4,37.94467140000393,sha_round_1,
asian,cpu,none,5000,e2-standard-4,50.750306599996975,sha_round_1,
asian,cpu,none,5000,e2-standard-4,50.750306599996975,sha_round_1,
asian,cpu,none,5000,e2-standard-4,53.63534040000104,sha_round_1,
asian,cpu,none,5000,e2-standard-4,54.0960057999996,sha_round_1,
asian,cpu,none,5000,e2-standard-4,54.0960057999996,sha_round_1,
asian,jax,none,5000,t2d-standard-4,69.02699360000213,sha_round_1,
asian,jax,none,5000,c2d-standard-4,69.26450539999678,sha_round_1,
asian,jax,none,5000,c2d-standard-4,70.8953159999993,sha_round_1,
asian,jax,none,5000,t2d-standard-4,72.17551380000202,sha_round_1,
asian,jax,none,5000,e2-standard-8,80.82274079999934,sha_round_1,
asian,jax,none,5000,n2d-standard-4,86.15306199999964,sha_round_1,
asian,jax,none,5000,e2-standard-8,89.90147200000251,sha_round_1,
asian,jax,none,5000,n2d-standard-4,89.92369760000543,sha_round_1,
asian,jax,none,5000,n2-standard-4,97.56657800000141,sha_round_1,
asian,jax,none,5000,n2-standard-4,99.25801999999635,sha_round_1,
asian,jax,none,5000,e2-standard-4,119.5291434000012,sha_round_1,
asian,jax,none,5000,e2-standard-4,135.12823060000017,sha_round_1,
asian,jax,none,25000,e2-standard-8,114.01396971428467,sha_round_2,
asian,jax,none,25000,t2d-standard-4,118.26739542857467,sha_round_2,
asian,jax,none,25000,t2d-standard-4,119.599154999999,sha_round_2,
asian,jax,none,25000,c2d-standard-4,119.80066200000091,sha_round_2,
asian,jax,none,25000,c2d-standard-4,121.29124357143033,sha_round_2,
asian,jax,none,25000,n2d-standard-4,138.31968171428497,sha_round_2,
asian,jax,none,25000,e2-standard-8,144.35094942856657,sha_round_2,
asian,jax,none,25000,n2d-standard-4,163.9959161428562,sha_round_2,
asian,cpu,none,25000,e2-standard-8,166.06800985713986,sha_round_2,
asian,jax,none,25000,n2-standard-4,202.53043699999498,sha_round_2,
asian,jax,none,25000,n2-standard-4,206.40680042857136,sha_round_2,
asian,jax,none,25000,e2-standard-4,234.6247172857139,sha_round_2,
asian,jax,none,25000,e2-standard-4,255.3689805714348,sha_round_2,
asian,cpu,none,25000,e2-standard-4,277.03695585714576,sha_round_2,
european,cpp,none,1000,,0.016214199877140345,,
european,cpp,none,5000,,0.05166239989193855,,
european,cpu,none,1000,,0.08085680001386208,,
european,cpu,none,1000,,0.08497850001276674,,
european,cpu,none,1000,,0.08509349993346405,,
european,cpu,none,,,0.09157479989880812,,
european,cpp,none,10000,,0.09838314287792725,,
european,cpu,none,,,0.09992839986807667,,
european,cpp,none,10000,,0.1026814001306775,,
european,cpu,none,,,0.10528839993639849,,
european,cpu,none,,,0.10797340000863187,,
european,cpu,none,,,0.11326900003041374,,
european,cpu,none,,,0.12431979994289577,,
european,cpu,none,5000,,0.1831816001867992,,
european,cpu,none,10000,,0.2171147144248867,,
european,cpu,none,10000,,0.21976942844048608,,
european,cpp,none,20000,,0.29287379984452855,,
european,cpp,none,10000,,0.3014239999174606,,
european,cpu,none,10000,,0.31456039987460827,,
european,jax,none,1000,,0.427343000046676,,
european,cpp,none,40000,,0.4309634000492224,,
european,jax,none,1000,,0.4511151999395224,,
european,jax,none,5000,,0.5034757999055728,,
european,jax,none,1000,,0.521169999956328,,
european,jax,none,1000,,0.5222884999511734,,
european,cpp,none,50000,,0.5295573999319458,,
european,cpp,none,50000,,0.5343922000974999,,
